ip,first_seen,last_seen,asn,country,behavior_detail,requests,response_codes,blocked,notes
138.246.253.24,2026-02-26,2026-02-27,AS12816 Leibniz-Rechenzentrum,DE,Automated surface reconnaissance via robots.txt enumeration,2,403,yes,AbuseIPDB 0% confidence but 27052 reports 462 sources actively malicious VT 7/94 listed in honeypot graphs port scanning brute force
193.142.146.55,2026-02-22,2026-02-22,AS213438 ColocaTel Datacenter,NL,Automated surface scan self-identified via scanner/1.0 user agent,2,403,yes,AbuseIPDB 100% confidence 117 reports 86 sources Data Center IP Amsterdam
176.96.137.48,2026-02-23,2026-02-23,AS58212 dataforest GmbH,DE,Automated security.txt and well-known enumeration via Go-http-client,2,403,yes,AbuseIPDB 100% confidence 223 reports 132 sources VT 4/94 malicious Data Center IP Frankfurt
185.242.3.85,2026-02-25,2026-02-25,AS60223 Netiface Limited,NL,Automated scan via python-requests followed by wp-admin auth probe with spoofed browser user agent,2,403,yes,AbuseIPDB 100% confidence 126 reports 67 sources VT 8/94 malicious dual behavior scanner and brute forcer
45.154.98.13,2026-02-25,2026-02-25,AS210558 1337 Services GmbH,NL,Single GET request to root path likely reconnaissance,1,403,yes,AbuseIPDB 100% confidence 115 reports 74 sources VT 10/94 malicious identified as Remcos RAT C2 server hosted on disposable anonymous RDP infrastructure
129.213.23.155,2026-02-24,2026-02-24,AS31898 Oracle Corporation,US,Googlebot user agent spoof from Oracle Cloud infrastructure single GET to root,1,403,yes,AbuseIPDB 58% confidence 22 reports 14 sources VT 3/94 malicious Oracle Cloud IP multi-behavior attacker Googlebot spoof WordPress attacks xmlrpc probing DDoS brute force reported across multiple platforms
150.136.37.19,2026-02-24,2026-02-27,AS31898 Oracle Corporation,US,Multi-visit reconnaissance with rotating user agent spoofs including fake Googlebot and browser impersonation,2,403,yes,AbuseIPDB 63% confidence 28 reports 14 sources VT 1/94 Oracle Cloud IP rotating user agent evasion fake Googlebot rDNS mismatch confirmed spoof SQL injection brute force scraping reported across multiple platforms
20.196.201.163,2026-03-10,2026-03-10,AS8075 Microsoft Corporation (Azure Japan),JP,WordPress path traversal and webshell access scan — 63 GET requests in 13-second burst probing wp-includes subdirectories for planted PHP files including /wp-includes/images/wp-login.php and /wp-includes/js/dist/script-modules/block-library/search/about.php. Also probed /xmlrpc.php and non-existent /wp-themes.php. MalCare WAF blocked 60/63 requests with 403.,63,403 (60/63) 500 (1/63) 200 (2/63),yes — MalCare WAF 403,AbuseIPDB 289 reports from 146 sources first reported March 8 2026 most recent 10 minutes ago — highly active. VT 4/94 malicious web attacks and xmlrpc exploitation. Azure Japan GCP instance used for automated scanning. Path injection into wp-includes confirms webshell hunting behavior. Report to Azure abuse@microsoft.com. Category 21.
43.139.137.13,2026-03-08,2026-03-08,AS45090 Tencent Cloud,CN,WordPress author enumeration — systematic GET requests for /?author=1 through /?author=20 in a 6-second burst using Apache-HttpClient/4.5.2 Java/1.8.0_151 automated tool. Enumerating author IDs to harvest real WordPress usernames for use in subsequent credential attacks. Jetpack rate-limited all 20 requests.,20,429 (20/20),yes — Jetpack rate limit 429,AbuseIPDB 1143 reports from 153 sources first reported February 2024 most recent 18 hours ago — persistent long-running threat actor. Carry-over from prior incident. Tencent Cloud China. Java HTTP client confirms automated tooling. User enumeration harvesting precedes credential attack campaigns. Block in MalCare to prevent future enumeration attempts. Category 21.
34.142.251.255,2026-03-10,2026-03-10,AS15169 Google LLC (GCP),SG,PHP configuration reconnaissance — sequential GET requests to /phpinfo /info.php /index.php /_profiler/phpinfo /test.php /phpinfo.php probing for exposed PHP diagnostic pages that would reveal server version configuration and installed modules. All 7 requests blocked 403 by MalCare WAF.,7,403 (7/7),yes — MalCare WAF 403,AbuseIPDB 1095 reports from 415 sources first reported February 2026 most recent 1 hour ago — extremely active. VT passive DNS 255.251.142.34.bc.googleusercontent.com. Google Cloud Singapore instance used for automated scanning — GCP frequently abused for disposable scan infrastructure. Port scan brute force and web attacks reported by others. Category 21.
